JobID|State|ExitCode|Elapsed|MaxRSS|AllocCPUS
50497517_0|COMPLETED|0:0|00:00:45||2
50497517_0.batch|COMPLETED|0:0|00:00:45|516200K|2
50497517_0.extern|COMPLETED|0:0|00:00:45||2
50497533|COMPLETED|0:0|00:05:18||4
50497533.batch|COMPLETED|0:0|00:05:18|1054932K|4
50497533.extern|COMPLETED|0:0|00:05:18||4
50497534_1|COMPLETED|0:0|00:00:29||2
50497534_1.batch|COMPLETED|0:0|00:00:29|2052K|2
50497534_1.extern|COMPLETED|0:0|00:00:29||2
50497534_2|COMPLETED|0:0|00:00:29||2
50497534_2.batch|COMPLETED|0:0|00:00:29|2064K|2
50497534_2.extern|COMPLETED|0:0|00:00:29||2
50497534_3|COMPLETED|0:0|00:00:44||2
50497534_3.batch|COMPLETED|0:0|00:00:44|516988K|2
50497534_3.extern|COMPLETED|0:0|00:00:44||2
50497534_4|COMPLETED|0:0|00:00:29||2
50497534_4.batch|COMPLETED|0:0|00:00:29|2080K|2
50497534_4.extern|COMPLETED|0:0|00:00:29||2
50497534_5|COMPLETED|0:0|00:15:00||2
50497534_5.batch|COMPLETED|0:0|00:15:00|520772K|2
50497534_5.extern|COMPLETED|0:0|00:15:00||2
50497534_6|COMPLETED|0:0|00:14:40||2
50497534_6.batch|COMPLETED|0:0|00:14:40|518608K|2
50497534_6.extern|COMPLETED|0:0|00:14:40||2
50497534_7|COMPLETED|0:0|00:14:39||2
50497534_7.batch|COMPLETED|0:0|00:14:39|522012K|2
50497534_7.extern|COMPLETED|0:0|00:14:39||2
50497534_8|COMPLETED|0:0|00:13:02||2
50497534_8.batch|COMPLETED|0:0|00:13:02|525276K|2
50497534_8.extern|COMPLETED|0:0|00:13:02||2
50497534_9|COMPLETED|0:0|00:02:47||2
50497534_9.batch|COMPLETED|0:0|00:02:47|518744K|2
50497534_9.extern|COMPLETED|0:0|00:02:47||2
50497534_10|COMPLETED|0:0|00:00:56||2
50497534_10.batch|COMPLETED|0:0|00:00:56|520656K|2
50497534_10.extern|COMPLETED|0:0|00:00:56||2
50497534_11|COMPLETED|0:0|00:00:57||2
50497534_11.batch|COMPLETED|0:0|00:00:57|520272K|2
50497534_11.extern|COMPLETED|0:0|00:00:57||2
50497534_12|COMPLETED|0:0|00:00:57||2
50497534_12.batch|COMPLETED|0:0|00:00:57|522464K|2
50497534_12.extern|COMPLETED|0:0|00:00:57||2
50497534_13|COMPLETED|0:0|00:00:56||2
50497534_13.batch|COMPLETED|0:0|00:00:56|520552K|2
50497534_13.extern|COMPLETED|0:0|00:00:56||2
50497534_14|COMPLETED|0:0|00:00:58||2
50497534_14.batch|COMPLETED|0:0|00:00:58|520624K|2
50497534_14.extern|COMPLETED|0:0|00:00:58||2
50497534_15|COMPLETED|0:0|00:00:44||2
50497534_15.batch|COMPLETED|0:0|00:00:44|516640K|2
50497534_15.extern|COMPLETED|0:0|00:00:44||2
50497534_16|COMPLETED|0:0|00:00:43||2
50497534_16.batch|COMPLETED|0:0|00:00:43|518832K|2
50497534_16.extern|COMPLETED|0:0|00:00:43||2
50497534_17|COMPLETED|0:0|00:00:47||2
50497534_17.batch|COMPLETED|0:0|00:00:47|519208K|2
50497534_17.extern|COMPLETED|0:0|00:00:47||2
50497534_18|COMPLETED|0:0|00:00:44||2
50497534_18.batch|COMPLETED|0:0|00:00:44|520296K|2
50497534_18.extern|COMPLETED|0:0|00:00:44||2
50497534_19|COMPLETED|0:0|00:00:28||2
50497534_19.batch|COMPLETED|0:0|00:00:28|2076K|2
50497534_19.extern|COMPLETED|0:0|00:00:28||2
50497534_20|COMPLETED|0:0|00:13:13||2
50497534_20.batch|COMPLETED|0:0|00:13:13|523376K|2
50497534_20.extern|COMPLETED|0:0|00:13:13||2
50497534_21|COMPLETED|0:0|00:13:03||2
50497534_21.batch|COMPLETED|0:0|00:13:03|524092K|2
50497534_21.extern|COMPLETED|0:0|00:13:03||2
50497534_22|COMPLETED|0:0|00:02:52||2
50497534_22.batch|COMPLETED|0:0|00:02:52|523180K|2
50497534_22.extern|COMPLETED|0:0|00:02:52||2
50497534_23|COMPLETED|0:0|00:13:24||2
50497534_23.batch|COMPLETED|0:0|00:13:24|523304K|2
50497534_23.extern|COMPLETED|0:0|00:13:24||2
50497534_24|COMPLETED|0:0|00:13:15||2
50497534_24.batch|COMPLETED|0:0|00:13:15|523816K|2
50497534_24.extern|COMPLETED|0:0|00:13:16||2
50497534_25|COMPLETED|0:0|00:01:33||2
50497534_25.batch|COMPLETED|0:0|00:01:33|518572K|2
50497534_25.extern|COMPLETED|0:0|00:01:34||2
50497534_26|COMPLETED|0:0|00:01:04||2
50497534_26.batch|COMPLETED|0:0|00:01:04|525160K|2
50497534_26.extern|COMPLETED|0:0|00:01:04||2
50497534_27|COMPLETED|0:0|00:01:36||2
50497534_27.batch|COMPLETED|0:0|00:01:36|523076K|2
50497534_27.extern|COMPLETED|0:0|00:01:36||2
50497534_28|COMPLETED|0:0|00:01:00||2
50497534_28.batch|COMPLETED|0:0|00:01:00|519112K|2
50497534_28.extern|COMPLETED|0:0|00:01:00||2
50497534_29|COMPLETED|0:0|00:01:17||2
50497534_29.batch|COMPLETED|0:0|00:01:17|527920K|2
50497534_29.extern|COMPLETED|0:0|00:01:17||2
50497534_30|COMPLETED|0:0|00:00:28||2
50497534_30.batch|COMPLETED|0:0|00:00:28|2100K|2
50497534_30.extern|COMPLETED|0:0|00:00:28||2
50497534_31|COMPLETED|0:0|00:00:28||2
50497534_31.batch|COMPLETED|0:0|00:00:28|2064K|2
50497534_31.extern|COMPLETED|0:0|00:00:28||2
50497534_32|COMPLETED|0:0|00:00:34||2
50497534_32.batch|COMPLETED|0:0|00:00:34|519612K|2
50497534_32.extern|COMPLETED|0:0|00:00:34||2
50497534_33|COMPLETED|0:0|00:00:34||2
50497534_33.batch|COMPLETED|0:0|00:00:34|521792K|2
50497534_33.extern|COMPLETED|0:0|00:00:34||2
50497534_34|COMPLETED|0:0|00:00:29||2
50497534_34.batch|COMPLETED|0:0|00:00:29|2064K|2
50497534_34.extern|COMPLETED|0:0|00:00:29||2
50497534_35|COMPLETED|0:0|00:13:18||2
50497534_35.batch|COMPLETED|0:0|00:13:18|520260K|2
50497534_35.extern|COMPLETED|0:0|00:13:18||2
50497534_36|COMPLETED|0:0|00:02:42||2
50497534_36.batch|COMPLETED|0:0|00:02:42|522892K|2
50497534_36.extern|COMPLETED|0:0|00:02:42||2
50497534_37|COMPLETED|0:0|00:03:02||2
50497534_37.batch|COMPLETED|0:0|00:03:02|522856K|2
50497534_37.extern|COMPLETED|0:0|00:03:02||2
50497534_38|COMPLETED|0:0|00:02:36||2
50497534_38.batch|COMPLETED|0:0|00:02:36|524212K|2
50497534_38.extern|COMPLETED|0:0|00:02:36||2
50497534_39|COMPLETED|0:0|00:03:01||2
50497534_39.batch|COMPLETED|0:0|00:03:01|523940K|2
50497534_39.extern|COMPLETED|0:0|00:03:01||2
50497534_40|COMPLETED|0:0|00:01:01||2
50497534_40.batch|COMPLETED|0:0|00:01:01|521768K|2
50497534_40.extern|COMPLETED|0:0|00:01:01||2
50497534_41|COMPLETED|0:0|00:00:57||2
50497534_41.batch|COMPLETED|0:0|00:00:57|519632K|2
50497534_41.extern|COMPLETED|0:0|00:00:57||2
50497534_42|COMPLETED|0:0|00:01:00||2
50497534_42.batch|COMPLETED|0:0|00:01:00|524116K|2
50497534_42.extern|COMPLETED|0:0|00:01:00||2
50497534_43|COMPLETED|0:0|00:01:11||2
50497534_43.batch|COMPLETED|0:0|00:01:11|520472K|2
50497534_43.extern|COMPLETED|0:0|00:01:11||2
50497534_44|COMPLETED|0:0|00:01:12||2
50497534_44.batch|COMPLETED|0:0|00:01:12|524036K|2
50497534_44.extern|COMPLETED|0:0|00:01:12||2
50497534_45|COMPLETED|0:0|00:00:29||2
50497534_45.batch|COMPLETED|0:0|00:00:29|2M|2
50497534_45.extern|COMPLETED|0:0|00:00:29||2
50497534_46|COMPLETED|0:0|00:00:43||2
50497534_46.batch|COMPLETED|0:0|00:00:43|519448K|2
50497534_46.extern|COMPLETED|0:0|00:00:43||2
50497534_47|COMPLETED|0:0|00:00:33||2
50497534_47.batch|COMPLETED|0:0|00:00:33|517976K|2
50497534_47.extern|COMPLETED|0:0|00:00:33||2
50497534_48|COMPLETED|0:0|00:00:29||2
50497534_48.batch|COMPLETED|0:0|00:00:29|2092K|2
50497534_48.extern|COMPLETED|0:0|00:00:29||2
50497534_49|COMPLETED|0:0|00:00:27||2
50497534_49.batch|COMPLETED|0:0|00:00:27|2092K|2
50497534_49.extern|COMPLETED|0:0|00:00:27||2
50497534_50|COMPLETED|0:0|00:03:01||2
50497534_50.batch|COMPLETED|0:0|00:03:01|522776K|2
50497534_50.extern|COMPLETED|0:0|00:03:01||2
50497534_51|COMPLETED|0:0|00:02:47||2
50497534_51.batch|COMPLETED|0:0|00:02:47|524808K|2
50497534_51.extern|COMPLETED|0:0|00:02:47||2
50497534_52|COMPLETED|0:0|00:02:42||2
50497534_52.batch|COMPLETED|0:0|00:02:42|523244K|2
