task,layers,heads,terms,attention_ops,train_seconds,train_accuracy,test_accuracy,empty,verdict,verify_seconds,spec_empty,agrees
rand_000,5,1,1,9,849.8,0.98516,0.9915,false,non-empty,2.53,false,true
rand_001,6,1,1,6,98.7,1.0,1.0,false,non-empty,1.84,false,true
rand_002,5,1,1,10,856.7,0.91895,0.9585,false,non-empty,1.7,false,true
rand_003,5,1,2,5,121.4,1.0,1.0,false,non-empty,1.53,false,true
rand_004,5,1,2,5,127.1,1.0,1.0,false,non-empty,1.82,false,true
rand_005,5,1,1,5,86.2,1.0,1.0,false,non-empty,1.83,false,true
rand_006,6,1,2,6,283.8,1.0,1.0,false,non-empty,1.58,false,true
rand_007,5,1,2,5,258.6,1.0,1.0,false,non-empty,1.75,false,true
rand_008,5,1,1,5,86.9,1.0,1.0,false,non-empty,2.61,false,true
rand_009,5,1,1,9,867.7,0.853977,0.89,false,non-empty,2.68,false,true
rand_010,5,1,1,5,96.5,1.0,1.0,false,non-empty,2.02,false,true
rand_011,6,1,2,6,268.7,1.0,1.0,false,non-empty,2.8,false,true
rand_012,5,1,1,5,170.0,1.0,1.0,false,non-empty,1.69,false,true
rand_013,8,1,1,5,107.3,1.0,1.0,false,non-empty,1.9,false,true
rand_014,6,1,1,6,101.1,1.0,1.0,false,non-empty,2.85,false,true
rand_015,6,1,1,6,104.5,1.0,1.0,false,non-empty,2.67,false,true
rand_016,5,1,1,5,86.9,1.0,1.0,false,non-empty,2.49,false,true
rand_017,5,1,1,10,777.5,0.931507,0.908,false,non-empty,2.52,false,true
rand_018,5,1,1,5,191.5,1.0,1.0,false,non-empty,2.49,false,true
rand_019,5,1,1,5,87.5,1.0,1.0,false,non-empty,2.03,false,true
rand_020,6,1,2,5,137.0,1.0,1.0,false,non-empty,1.98,false,true
rand_021,5,1,1,9,852.8,0.938356,0.9235,false,non-empty,2.05,false,true
rand_022,5,1,1,5,87.4,1.0,1.0,false,non-empty,2.23,false,true
rand_023,5,1,2,4,113.9,1.0,1.0,false,non-empty,2.24,false,true
rand_024,2,1,1,2,56.1,1.0,1.0,true,empty,2.51,true,true
rand_025,1,1,1,2,33.7,1.0,1.0,true,empty,2.65,true,true
rand_026,3,1,1,3,49.0,1.0,1.0,true,empty,2.26,true,true
rand_027,2,1,1,2,58.7,1.0,1.0,true,empty,2.59,true,true
