task,layers,heads,terms,attention_ops,train_seconds,train_accuracy,test_accuracy,test_positive_rate,status,empty,verdict,verify_seconds,spec_empty,agrees
rand_000,11,1,2,9,512.0,0.858447,0.751,0.5,unsolved,false,non-empty,2.89,false,
rand_001,9,1,2,8,372.1,1.0,1.0,0.5,ok,false,non-empty,1.61,false,true
rand_002,11,1,1,9,269.1,1.0,1.0,0.5,ok,false,non-empty,1.68,false,true
rand_003,9,1,2,9,294.5,1.0,1.0,0.5,ok,false,non-empty,1.64,false,true
rand_004,9,1,1,6,110.8,1.0,1.0,0.5,ok,false,non-empty,1.53,false,true
rand_005,13,2,2,9,867.0,0.990874,1.0,0.5,unsolved,false,non-empty,2.35,false,
rand_006,9,1,2,7,167.8,1.0,1.0,0.5,ok,false,non-empty,2.21,false,true
rand_007,9,1,1,6,57.1,1.0,1.0,0.5,ok,false,non-empty,2.15,false,true
rand_008,9,1,1,6,159.0,1.0,1.0,0.5,ok,false,non-empty,1.64,false,true
rand_009,11,1,1,4,151.0,1.0,1.0,0.5,ok,false,non-empty,1.92,false,true
rand_010,11,1,1,6,116.1,1.0,1.0,0.5,ok,false,non-empty,5.03,false,true
rand_011,9,1,2,9,90.4,1.0,1.0,0.5,ok,false,non-empty,6.83,false,true
rand_012,10,1,1,7,218.0,1.0,1.0,0.5,ok,false,non-empty,7.22,false,true
rand_013,9,1,2,6,187.7,1.0,1.0,0.5,ok,false,non-empty,3.54,false,true
rand_014,9,2,2,10,404.9,0.995434,1.0,0.5,unsolved,false,non-empty,2.74,false,
rand_015,9,1,1,7,68.0,1.0,1.0,0.5,ok,false,non-empty,1.88,false,true
rand_016,1,1,1,1,24.2,1.0,1.0,0.0,degenerate,true,empty,1.72,true,
rand_017,2,1,1,2,47.1,1.0,1.0,0.0,degenerate,true,empty,1.4,true,
rand_018,2,1,1,2,73.7,1.0,1.0,0.0,degenerate,true,empty,1.29,true,
