task,star_free,layers,heads,terms,best_seed,model_hard_accuracy,train_accuracy,test_accuracy,test_positive_rate,disagreements,attention_ops,seconds
contains_abc,True,1,1,1,1,0.752648,0.752648,0.5,0.5,0,1,85.9
contains_abc,True,1,1,2,1,0.752648,0.752648,0.5,0.5,0,1,100.9
contains_abc,True,1,2,1,1,0.694704,0.694704,0.518,0.5,0,2,106.8
contains_abc,True,1,2,2,1,0.77134,0.77134,0.544,0.5,0,2,175.3
contains_abc,True,1,3,1,0,0.667913,0.667913,0.49,0.5,0,3,146.8
contains_abc,True,1,3,2,0,0.686604,0.686604,0.534,0.5,0,3,226.2
contains_abc,True,2,1,1,1,0.752648,0.752648,0.5,0.5,0,2,130.1
contains_abc,True,2,1,2,1,0.752648,0.752648,0.5,0.5,0,2,177.2
contains_abc,True,2,2,1,1,0.64486,0.64486,0.511,0.5,0,3,166.9
contains_abc,True,2,2,2,0,0.861682,0.861682,0.6025,0.5,0,4,316.0
contains_abc,True,2,3,1,0,0.743925,0.743925,0.52,0.5,0,4,210.1
contains_abc,True,2,3,2,0,0.943302,0.943302,0.6805,0.5,0,6,370.9
contains_abc,True,3,1,1,1,0.813084,0.813084,0.555,0.5,0,3,146.2
contains_abc,True,3,1,2,1,0.792523,0.792523,0.51,0.5,0,3,247.4
contains_abc,True,3,2,1,2,0.738318,0.738318,0.4835,0.5,0,4,199.2
contains_abc,True,3,2,2,2,0.861059,0.861059,0.5785,0.5,0,6,388.3
contains_abc,True,3,3,1,1,0.816822,0.816822,0.534,0.5,0,6,270.9
contains_abc,True,3,3,2,2,0.96947,0.96947,0.721,0.5,0,8,551.3
first_a_before_first_b,True,1,1,1,0,0.518084,0.518084,0.5045,0.5,0,1,71.5
first_a_before_first_b,True,1,1,2,2,0.525904,0.525904,0.5045,0.5,0,1,92.0
first_a_before_first_b,True,1,2,1,1,0.993157,0.993157,1.0,0.5,0,2,119.2
first_a_before_first_b,True,1,2,2,0,1.0,1.0,1.0,0.5,0,2,53.4
first_a_before_first_b,True,1,3,1,1,1.0,1.0,1.0,0.5,0,3,98.9
first_a_before_first_b,True,1,3,2,1,1.0,1.0,1.0,0.5,0,3,127.4
first_a_before_first_b,True,2,1,1,0,0.99218,0.99218,1.0,0.5,0,2,132.5
first_a_before_first_b,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,52.3
